NAME	EXM	Prim	CTB
BGN	87.9138016293435	3497.8342927578	238.921455440751
BHLHE41	74.0654570747707	37.0704434977188	381.64120071763
BLVRB	741.041408877316	264.670430594407	3145.65810941347
BNC1	484.90820453095	13.7566774813642	80.2046800297042
BUB1	353.666590884588	44.5419647412008	1330.94823666382
C10orf95	17.1786239126986	702.988748187962	86.1195003958912
C2orf72	112.809093758461	2203.81277039932	2170.13549044359
C4orf47	28.4264352743536	8.49619409409833	518.046729726981
C6orf132	74.6651964206391	69.5192800043994	351.850004502194
CA12	96.4313677551735	54.0048354657527	1173.76402222951
CA3	4209.65800694872	36.8046670329894	358.756906918056
CACNG4	1127.7103210096	18.0299167119341	74.574797101177
CADM1	1285.84525571679	22.3103596093698	78.7934816360195
CAMK1G	748.469081238808	24.9120515058736	59.2814354340588
CAPN2	4433.12710347941	113.481666554303	1070.81316599412
CASZ1	12.4873651235746	347.205921336741	18.6242226636167
CAV1	98.7112889819883	170.767130562061	4286.30520338417
CAVIN1	127.570911044607	63.0946105297214	480.064111852456
CBLC	75.1734647623358	81.1004193389941	1211.43655344163
CCDC141	3.97585654435646	27.068859869214	420.07961928803
CCND2	2469.89712283198	46.830219116735	319.932412213038
CCNF	223.975534395086	112.521348738291	815.305627467116
CCR7	195.058355911566	5785.73933770098	1878.29185606756
CCSER1	226.794564602243	178.430899181723	1310.4821367494
CD274	17.4203978526812	1384.5878445092	357.527572090328
CD300A	2151.16221793469	24.6208432423608	317.54374241989
CD55	133.304297998529	2208.53125311378	1792.91327177234
CD82	856.048941669206	16.0308151513755	67.7078619503365
CDC6	115.215080255859	1088.96471970044	577.739854608375
CDCA2	157.526260410596	30.6974009323452	658.984634464037
CDCA3	112.481829658971	63.5111575829827	718.804393494293
CDCA8	288.564633066437	41.103507878586	929.678295932198
CDH10	2755.66621385811	39.7387108441231	1304.28190028317
CDH3	4303.99314858679	62.3672720663354	304.0654448545
CDH5	95.1567313428324	5251.33959543479	610.979463931333
CDK1	342.10242333452	56.0201593619882	1608.84547484614
CDO1	333.481781876949	47.156279479989	1320.39051328438
CEBPD	509.174165212124	699.318076948348	5697.1739838067
CELSR1	3319.75469957582	77.0986747076726	3021.25397775936
CENPE	138.21124559642	36.4205281193548	1028.33198388404
CENPF	325.555068804757	45.9635031561745	1434.83326175285
CHST11	899.101027774673	105.942754295328	114.040141258719
CIT	302.642647339425	29.9239249798883	1338.3181383472
CITED4	36.7098503499497	49.0506746201045	220.445026517071
CLDN1	11.529630225087	1162.62432867264	158.15878622955
CLDN3	173.166502269146	237.303141531351	1803.53685587271
CLEC1A	23.6787662884185	910.979620374505	644.865457182424
CMTM7	821.943313545253	38.7080231599682	306.862270442809
CMYA5	111.895249838057	21.914779237638	522.92265309167
COL11A2	744.888380481894	29.9457505963396	110.639048866471
COL12A1	1183.27949166041	21.9463715495677	58.6751140213582
COL16A1	1710.20374294487	28.0864736412653	113.632224422647
COL18A1	19100.05884878	400.824911703281	2957.69870637218
COL1A1	12344.8499952355	264.65400119347	1384.41358750595
COL1A2	9229.42720397697	435.608436558159	2883.26997035981
COL3A1	5848.80911509512	39.9432068949372	45.7542894926238
COL5A2	2376.73481134825	146.193210479565	354.727064849616
COL6A3	2883.50426593264	49.2349178218431	348.365791067069
COL6A6	2001.65364479584	32.8023642313675	201.968349416079
CPE	5290.76131819712	75.1428175504123	180.44780411547
CPM	97.6879097234064	2936.43690791655	267.539661929282
CRABP2	1267.02856947279	57.9886094895702	262.044161045816
CRIP2	13.8304493401533	1170.30443555836	96.8161350330855
