genesymbols	EXM	Prim
PAPOLA	1708.02870903565	4260.12897477119
PAPPA2	6121.75616268079	180.281583067856
PAQR8	3325.72180335677	40.0639977430892
PBX1	1595.34325149432	140.079135053803
PDCD4	3470.05947436539	710.971392096217
PDGFRB	2320.49356826658	27.0616845639687
PDIA3	1523.14161747353	4232.75082716565
PDLIM1	1024.62424240852	48.9431631584024
PDLIM2	3762.30160987172	5703.71199780957
PDZRN3	2131.15168708427	21.4447733651348
PEAR1	724.764724476672	6.02586730556948
PGF	974.799583609995	34687.0662169643
PGM1	1220.79432609352	171.530660278553
PHKG2	572.876443585938	2879.49606723477
PHLDA2	194.680604286832	7685.37568941294
PHLDB3	385.106273036518	2085.21000999965
PHLPP1	226.265936864322	1163.54085521705
PHOSPHO1	20.650090257115	2215.03451380873
PHYHIPL	4.99825346001325	406.171398130896
PID1	27.4547677111507	1382.51486586276
PIK3C2A	714.64979122149	1900.94104658405
PIM3	592.969293458831	2410.75243622243
PJA1	900.528833611163	35.0484222274126
PKD2	731.473552183702	40.7898290108981
PKDCC	2922.11479913792	66.514717352064
PLCD3	263.423643928194	1776.24559490989
PLCXD1	2195.70616683448	4868.12205538034
PLCXD3	769.913271453528	17.4857044651719
PLEKHA5	719.415208387364	53.7642733608179
PLEKHF1	83.2353408650485	1848.83740644184
PLEKHG5	482.479583823063	10.6203694678818
PLPP3	500.67616172684	6170.63917564016
PLSCR5	1231.59381506485	18.6643920080119
PNRC1	1706.03102472408	248.807198725154
PODXL	1018.65058387478	18.6595064784521
POU2F3	32.0813968868415	391.825225788834
PPARD	407.063737899286	2103.40075067111
PPM1B	404.963454879041	4054.82894820312
PPM1D	109.580157898826	1524.93550219633
PPP1CB	1798.37695517792	4211.40644764262
PRAG1	1119.04203285903	38.0652863850463
PRKCZ	884.497878136141	5462.71158260136
PRKD1	697.093803660425	7.29323085783899
PRR15	3787.2860718972	51.3687290190482
PRR9	201.096561603129	14613.5263602684
PRRT4	678.793357337446	27.3696871697122
PRSS12	3429.70428114034	100.667263252148
PRSS22	790.490346908092	40.5136266196866
PRSS23	3749.2063601242	602.79025795894
PRTG	4451.91989051212	101.441680375692
PSTPIP2	1581.95265736431	134.593835926943
PTGIS	1750.89746395936	84.8099033233037
PTPRE	31.2380771032482	667.16408236903
PTPRM	1375.20780964706	272.817809193151
PTPRS	1043.50243514678	82.8024951885006
PWWP2B	436.589930716084	2282.15290532516
QSOX1	436.036052199848	2996.67553437891
RAB11FIP4	1210.84233093522	3044.28186752384
RAB11FIP5	189.613870375206	1770.01081632015
RAB24	206.804969701178	1004.89805227917
RAB32	1092.78222431128	43.450364434729
RAP2C	1790.22871200703	185.508340156428
RASA1	304.085750222687	2204.9923100206
RASAL2	269.084786769907	932.407225241419
RASGRF2	1474.99309780045	48.8217616896904
RBPMS2	122.951330725633	835.011500875199
REEP1	22.3191592604016	329.683590918504
RESF1	623.4053665654	31.0521262504674
RGS16	4656.45776305993	460.57685161007
RHOBTB1	332.469616094177	5935.95152469815
RHOBTB3	2421.0766934123	135.259365422907
RHPN2	769.489831928685	42.0403568176501
RIN3	230.133993851755	1031.81099946786
RNF11	275.485905754936	840.99608861433
RNF111	242.537462826048	976.162577046669
ROR1	547.69241059937	16.5503933911467
RYBP	1042.10696966574	3094.2766814659
RYR2	1333.70791079951	19.9229405882691
S100A13	4944.78096324074	300.3717372239
S100A4	3834.69305098868	404.898429728069
S100A6	12966.4454389297	1322.38226508983
S100P	130.667361373865	5585.61458755737
SALL3	1074.10767763137	81.282305489131
SATB1	925.08906705216	80.6668380661321
SC5D	2130.59023541517	56.6682574322902
SCUBE3	1079.24451241566	104.329256962369
SDC1	228.412221729139	10827.3332012585
SEMA4C	5337.12186024534	1425.52318659992
SEMA5A	2061.45542840402	62.7687740011171
SEMA7A	135.193093051293	3080.44509865635
SERINC5	3011.29643929736	219.383914102429
SERP1	2006.96268762411	5656.6252258209
SERPINE1	116.506133466217	2832.67627648189
SESN3	3579.77584671807	55.7570248625346
SESTD1	81.2504752313018	970.512571224887
SETBP1	772.232534167596	20.8829338734481
SFRP1	3976.11822480704	97.0584815893122
SGK1	383.455813624656	6163.9691546196
SH2B2	856.912139977389	2254.76947205173
SIAH1	304.931544500783	3868.70619751848
SIAH2	638.657638908055	2277.19275047365
SIN3B	1504.83324559456	5685.33154730626
SLC12A2	919.865401827074	64.2912921288685
SLC13A4	104.478012215946	4117.66351742142
SLC16A3	3481.59217676256	702.305998327432
SLC19A1	118.527086777948	4253.85731350167
SLC22A11	6.63782559060153	768.819750872584
SLC25A25	81.1500119503413	1281.86318685924
SLC27A2	21.7889340791738	437.321972184387
SLC2A3	17766.0560934523	1637.21110751139
SLC35F2	1666.96819957516	88.3848504107519
SLC36A1	1482.82643169787	62.5626503147829
SLC38A3	35.6885007236139	1744.67208348417
SLC38A9	159.130546896638	1323.68565073845
SLC40A1	397.673092335781	4666.94985667436
SLC43A2	249.550509111674	5754.99666460142
SLC49A3	61.1857156567567	587.085208146271
SLC49A4	122.100219189195	1122.54323262788
SLC52A3	9.83006259007098	590.036973705925
SLC7A6	355.01845805052	3164.43529441213
SLC7A8	1030.30037798651	10584.3268593055
