genesymbols	EXM	Prim	CTB
FOXO3	1295.26662420958	96.1465054621749	1189.30078758543
FOXO6	135.855271089751	6682.67517668392	1376.57596749978
FRAS1	3195.50274275304	90.4108742110134	1783.16793032908
FST	3249.3007385281	210.06971110625	401.744127915385
FSTL3	169.030543778212	109.125157577332	1746.93940687446
FURIN	1667.48831555097	6151.52267556041	2593.93735942959
FYB1	565.221889978621	307.839830240939	3024.00041803539
FZD7	732.751422818511	64.1446409911131	115.655135323669
GAB2	928.156129837938	4011.63470453509	3569.31696998014
GABRE	42.9278084607638	143.871521237273	2031.07831684246
GABRP	12493.4861839896	243.093418877473	996.348477668643
GADD45B	80.6744593426016	641.037657680022	225.144567852634
GADD45G	784.882734002747	6405.57414747461	3667.88660764829
GALNT11	168.186136338049	37.8555534463557	740.195821570245
GALNT2	1203.15571117228	4926.18464224493	1449.42200157892
GAS2L3	85.7467732416247	776.397464920059	420.737966560426
GAS7	1050.16638599971	25.6301211596363	216.343290443292
GATA6	1222.83645371674	248.709150647406	659.614709255303
GBP2	3.31864286607754	26.646949426108	355.616755499556
GCM1	119.119853406236	2397.70098647508	2610.24775937963
GCNT1	172.399485576943	791.157478819941	452.699673644179
GDE1	522.607044529872	2030.05777208357	1195.33394031693
GDF15	509.029454055657	8909.42530633442	3949.87070790725
GDPD5	102.308550723151	832.122322583208	106.808742436208
GJA5	166.121095531671	187.332217240714	3625.62783048935
GLA	290.233704173362	1472.57075851465	860.788935160294
GLB1	6456.83339244126	542.035914280365	3911.48328343913
GLI3	1083.68569943073	168.447029053197	618.902681856158
GLIS3	118.240094071759	39.3217558268336	895.344468998966
GMPPB	226.871914124366	1453.15817515386	530.13712292769
GPC1	1454.04416860168	6325.89688546258	4306.98858883678
GPC6	424.907932911933	3.59578516346306	12.9759814046471
GPR146	15.8723799125176	29.6154258032104	295.918019899322
GPR32	13.9521050780198	574.650401003636	480.100311121817
GPRC5A	1115.03849532675	17.1438019293576	92.5953021068152
GPRC5C	669.638785017704	55.4560246969922	185.026387809924
GRAMD2B	119.953509455745	1397.83893465186	577.525132168227
GREM2	161.785872382556	1752.79920731163	1295.60504952173
GSE1	597.395141687513	4289.21692711333	6500.31852098902
GSK3B	594.284883038896	1729.58713359331	1031.42361053856
GSN	5119.82587727871	200.934953860536	1822.15458658363
GTSE1	223.239981426616	27.2559991503787	870.092420123925
GUCY1A1	961.020884854567	11.6570253144524	31.5960783713167
HAND1	10461.9019614116	164.386736195326	2407.39677322565
HAP1	48.4402652626714	1238.15909897037	140.732581315787
HAPLN1	1531.41583017518	82.7552675584938	744.948411906541
HCN4	477.808973994225	8.34917761528967	36.4537873212875
HDAC5	409.498747841408	2313.30158707416	2347.64344625508
HEBP1	1484.50739461402	50.702131729882	591.105394287474
HELLS	807.604493537371	141.730369140614	3965.02545670791
HERPUD1	1447.1049202299	4645.93047489116	2545.49060974251
HES1	73.4481129965002	629.663548253962	382.920225643379
HES2	11.2962264490314	892.935834127633	105.324449653789
HES4	99.7594520802266	23.7448794383369	402.957901014419
HEXIM1	926.543538845269	6365.28346147479	2701.82869351303
HEY1	3815.5488616873	396.948732803152	1946.09951434356
HIST1H1B	1097.70686292228	218.742268781339	10493.1276351783
HIST1H1C	2462.64407640746	466.632012673863	15382.4415174387
HIST1H1D	350.741686198651	70.6635806511673	2811.69118275247
HIST1H1E	741.155253303496	184.293695575671	5716.07969559814
HIST1H2AE	155.565877852235	20.8142500995522	840.241678203394
HIST1H2BH	434.125078112183	91.8085437884293	2220.12703152039
HIST1H4C	310.524267327963	57.519466283452	1324.04312991872
HIST1H4J	60.3873264638105	11.2254251114908	470.916839411586
HIST3H2A	283.451296575097	1443.41214884602	493.826368878569
HIST3H2BB	82.0374246813246	553.363377552713	157.054931211429
HJURP	223.904871526041	21.3308095264973	1251.98366399373
HK2	2612.88674285109	186.035430629122	1039.79019193906
HMGB2	1346.03615186999	110.947475720302	5721.90397762443
HMMR	348.392935106317	28.0324238674239	1172.77227359341
HMOX1	882.775546276649	9058.79728466812	1899.0900397968
HOPX	267.509856147552	10894.4921640636	1013.24938528969
HOXB2	492.124335450545	12.3961769058293	165.279807917344
HOXB3	452.461010443538	6.24160100742012	149.285973579657
HPCAL1	154.797973837414	3373.34128445478	1202.93168750769
